episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
423,200,92.00,-2785.00,199,119,148.9,0.300,0.0000
424,200,123.00,-2600.00,175,130,149.2,0.300,0.0000
425,200,115.00,-2695.00,190,120,149.6,0.300,0.0000
426,200,71.00,-2827.00,200,128,149.9,0.300,0.0000
427,200,160.00,-2607.00,187,109,150.3,0.300,0.0000
428,200,52.00,-2805.00,178,168,150.6,0.300,0.0000
429,200,54.00,-2730.00,193,119,151.0,0.300,0.0000
430,200,-97.00,-2873.00,202,132,151.3,0.300,0.0000
431,200,99.00,-2640.00,190,110,151.7,0.300,0.0000
432,200,57.00,-2711.00,186,129,152.0,0.300,0.0000
433,200,159.00,-2811.00,185,153,152.4,0.300,0.0000
434,200,14.00,-2868.00,204,125,152.7,0.300,0.0000
435,200,65.00,-2719.00,187,132,153.1,0.300,0.0000
436,200,39.00,-2893.00,206,124,153.4,0.300,0.0000
437,200,24.00,-2765.00,187,139,153.8,0.300,0.0000
438,200,166.00,-2742.00,188,132,154.1,0.300,0.0000
